English,Turkish
the,the
and,Ve
have,sahip olmak
that,O
for,için
you,Sen
with,ile
say,söylemek
this,Bu
they,Onlar
but,Ancak
his,onun
from,itibaren
not,Olumsuz
she,o
as,gibi
what,Ne
their,onların
can,olabilmek
who,kim
get,elde etmek
would,istemek
her,o
all,Tümü
make,yapmak
about,hakkında
know,Bilmek
will,irade
one,bir
time,zaman
there,Orası
year,yıl
think,düşünmek
when,Ne zaman
which,Hangi
them,onlara
some,bazı
people,insanlar
take,almak
out,dışarı
into,içine
just,Sadece
see,Görmek
him,o
your,senin
come,Gelmek
could,abilir
now,Şimdi
than,hariç
like,beğenmek
other,diğer
how,Nasıl
then,Daha sonra
its,onun
our,bizim
two,iki
more,Daha
these,bunlar
want,istek
way,yol
look,Bakmak
first,Birinci
also,Ayrıca
new,yeni
because,Çünkü
day,gün
use,kullanmak
man,Adam
find,bulmak
here,Burada
thing,şey
give,vermek
many,birçok
well,Peki
only,sadece
those,onlar
tell,söylemek
very,çok
even,eşit
back,geri
any,herhangi
good,iyi
woman,kadın
through,başından sonuna kadar
life,hayat
child,çocuk
work,iş
down,aşağı
may,mayıs
after,sonrasında
should,meli
call,Arama
world,dünya
over,üzerinde
school,okul
still,Hala
try,denemek
last,son
ask,sormak
need,ihtiyaç
too,fazla
feel,hissetmek
three,üç
state,durum
never,Asla
become,haline gelmek
between,arasında
high,yüksek
really,Gerçekten
something,bir şey
most,en
another,bir diğer
much,fazla
family,aile
own,sahip olmak
leave,ayrılmak
put,koymak
old,eskimiş
while,sırasında
mean,Anlam
keep,kale
student,öğrenci
why,Neden
let,izin vermek
great,Harika
same,Aynı
big,büyük
group,grup
begin,başlamak
seem,gözükmek
country,ülke
help,yardım
talk,konuşmak
where,Neresi
turn,dönüş
problem,sorun
every,Her
start,başlangıç
hand,el
might,belki
American,Amerikan
show,göstermek
part,parça
against,aykırı
place,yer
such,çok
again,Tekrar
few,bir kaç
case,dava
week,hafta
company,şirket
system,sistem
each,her biri
right,Sağ
program,programı
hear,duymak
question,soru
during,sırasında
play,oynamak
government,devlet
run,koşmak
small,küçük
number,sayı
off,kapalı
always,Her zaman
move,taşınmak
night,gece
live,canlı
Mr,Bay
point,nokta
believe,inanmak
hold,tutmak
today,Bugün
bring,getirmek
happen,olmak
next,Sonraki
without,olmadan
before,önce
large,büyük
million,milyon
must,mutlak
home,Ev
under,altında
water,su
room,oda
write,yazmak
mother,anne
area,alan
national,ulusal
money,para
story,hikaye
young,genç
fact,hakikat
month,ay
different,farklı
lot,pay
study,çalışmak
book,kitap
eye,göz
job,iş
word,kelime
though,Yine de
business,işletme
issue,sorun
side,taraf
kind,tür
four,dört
head,KAFA
far,uzak
black,siyah
long,uzun
both,ikisi birden
little,biraz
house,ev
yes,Evet
since,o zamandan beri
provide,sağlamak
service,hizmet
around,etrafında
friend,arkadaş
important,önemli
father,baba
sit,oturmak
away,uzak
until,değin
power,güç
hour,saat
game,oyun
often,sıklıkla
yet,henüz
line,astar
political,siyasi
end,son
among,arasında
ever,durmadan
stand,durmak
bad,kötü
lose,kaybetmek
however,Yine de
member,üye
pay,ödemek
law,kanun
meet,tanışmak
car,araba
city,şehir
almost,neredeyse
include,katmak
continue,devam etmek
set,ayarlamak
later,Daha sonra
community,toplum
name,isim
five,beş
once,bir kere
white,beyaz
least,en az
president,başkan
learn,öğrenmek
real,gerçek
change,değiştirmek
team,takım
minute,dakika
best,en iyi
several,birçok
idea,fikir
kid,çocuk
body,vücut
information,bilgi
nothing,Hiçbir şey
ago,evvel
lead,yol göstermek
social,sosyal
understand,anlamak
whether,ikisinden biri
watch,kol saati
together,birlikte
follow,takip etmek
parent,ebeveyn
stop,durmak
face,yüz
anything,herhangi bir şey
create,yaratmak
public,halk
already,çoktan
speak,konuşmak
others,diğerleri
read,Okumak
level,seviye
allow,izin vermek
add,eklemek
office,ofis
spend,harcamak
door,kapı
health,sağlık
person,kişi
art,sanat
sure,Elbette
war,savaş
history,tarih
party,Parti
within,içinde
grow,büyümek
result,sonuç
open,açık
morning,Sabah
walk,yürümek
reason,sebep
low,Düşük
win,kazanç
research,araştırma
girl,kız
guy,adam
early,erken
food,yiyecek
moment,an
himself,kendisi
air,hava
teacher,Öğretmen
force,güç
offer,teklif
enough,yeterli
education,eğitim
across,karşısında
although,rağmen
remember,Unutma
foot,ayak
second,ikinci
boy,erkek çocuk
maybe,Belki
toward,karşı
able,hünerli
age,yaş
policy,politika
everything,her şey
love,Aşk
process,işlem
music,müzik
including,içermek
consider,dikkate almak
appear,belli olmak
actually,Aslında
buy,satın almak
probably,muhtemelen
human,insan
wait,Beklemek
serve,sert
market,pazar
die,ölmek
send,Göndermek
expect,beklemek
sense,algı
build,inşa etmek
stay,kalmak
